model,mode,caseIndex,scenario,seed,variability,landed,reason,score,time,turnDegrees,error,speed,lateral,tilt,positionMargin,speedMargin,lateralMargin,tiltMargin
candidate,covered,10,10,96685361,0,False,Flight terminated,-1095.1859394077492,5.449999999999989,0.29916325517774073,,,,,,,,
candidate,covered,11,11,96790090,0,False,Flight terminated,-1097.51732357404,5.349999999999989,0.2931182112720614,,,,,,,,
candidate,covered,12,12,96894819,0,False,Flight terminated,-1093.4260323077265,5.299999999999989,0.29129460447544264,,,,,,,,
candidate,covered,13,13,96999548,0,False,Flight terminated,-1099.4021761605047,5.299999999999989,0.2922949938153484,,,,,,,,
candidate,covered,14,14,97104277,0,False,Attitude at impact,-563.267450138984,4.6499999999999915,0.2532686590515698,9.508343394297153,56.15172334145612,9.39754238534806,2.255580025594564,1.4916566057028469,-52.55172334145612,-6.397542385348061,-2.0555800255945638
candidate,covered,15,15,97209006,0,False,Flight terminated,-1090.867063168709,5.399999999999989,0.29534462092957037,,,,,,,,
candidate,covered,16,16,97313735,0,False,Flight terminated,-1095.238968327376,5.449999999999989,0.2990649734840838,,,,,,,,
candidate,covered,17,17,97418464,0,False,Flight terminated,-1085.9617967781014,5.1999999999999895,18.53450649918971,,,,,,,,
candidate,covered,18,18,97523193,0,False,Flight terminated,-1116.7069206322808,5.349999999999989,0.2941892554533308,,,,,,,,
candidate,covered,19,19,97627922,0,False,Flight terminated,-1092.013663140075,5.449999999999989,0.2992201514323213,,,,,,,,
candidate,covered,20,20,97732651,0,False,Flight terminated,-1095.2494431929854,5.299999999999989,0.2885589969490447,,,,,,,,
candidate,covered,21,21,97837380,0,False,Flight terminated,-1085.2110197251861,5.349999999999989,0.2941409101627974,,,,,,,,
candidate,covered,22,22,97942109,0,False,Flight terminated,-1090.9449349145707,5.1999999999999895,0.28199728619476305,,,,,,,,
candidate,covered,23,23,98046838,0,False,Flight terminated,-1100.8348749474542,5.349999999999989,0.29488611032228135,,,,,,,,
candidate,covered,24,0,98151567,0.4,False,Missed the ship,-530.9733289306519,4.299999999999993,0.23180725482569464,16.311351265288607,43.57401913409507,8.968510121523183,2.090287566827965,-5.311351265288607,-39.974019134095066,-5.968510121523183,-1.890287566827965
candidate,covered,25,1,98256296,0.4,False,Flight terminated,-1090.4927236407157,5.4999999999999885,0.3016843926433697,,,,,,,,
